Month,Line,Medical,Medical Year to Date,Retail,Retail Year to Date,Total,Total Year to Date,Total to Date
1/1/2014,1,32541720,32541720,14022213,14022213,46563933,46563933,46563933
2/1/2014,2,31738572,64280292,14248473,28270686,45987045,92550978,92550978
3/1/2014,3,34821878,99102170,19881631,48152317,54703509,147254487,147254487
4/1/2014,4,32686869,131789039,20765986,68918303,53452855,200707342,200707342
5/1/2014,5,31355208,163144247,21375001,90293304,52730209,253437551,253437551
6/1/2014,6,29950309,193094556,23978082,114271386,53928391,307365942,307365942
7/1/2014,7,31137623,224232179,29866792,144138178,61004415,368370357,368370357
8/1/2014,8,33912226,258144405,33520608,177658786,67432834,435803191,435803191
9/1/2014,9,32721238,290865643,30345357,208004143,63066595,498869786,498869786
10/1/2014,10,31779216,322644859,31185985,239190128,62965201,561834987,561834987
11/1/2014,11,28978462,351623321,29470126,268660254,58448588,620283575,620283575
12/1/2014,12,28660719,380284040,34579445,303239699,63240164,683523739,683523739
1/1/2015,13,30181833,30181833,37224033,37224033,67405866,67405866,750929605
2/1/2015,14,29066073,59247906,35843189,73067222,64909262,132315128,815838867
3/1/2015,15,32820548,92068454,42952626,116019848,75773174,208088302,891612041
4/1/2015,16,32878517,124946971,43832944,159852792,76711461,284799763,968323502
5/1/2015,17,33609116,158556087,44590853,204443645,78199969,362999732,1046523471
6/1/2015,18,34552396,193108483,46460218,250903863,81012614,444012346,1127536085
7/1/2015,19,40611139,233719622,55315111,306218974,95926250,539938596,1223462335
8/1/2015,20,40819368,274538990,57679482,363898456,98498850,638437446,1321961185
9/1/2015,21,39991813,314530803,53639366,417537822,93631179,732068625,1415592364
10/1/2015,22,36742780,351273583,54467764,472005586,91210544,823279169,1506802908
11/1/2015,23,30770436,382044019,49453755,521459341,80224191,903503360,1587027099
12/1/2015,24,36010893,418054912,56077002,577536343,92087895,995591255,1679114994
1/1/2016,25,32860544,32860544,55896018,55896018,88756562,88756562,1767871556
2/1/2016,26,34019234,66879778,57045314,112941332,91064548,179821110,1858936104
3/1/2016,27,38116173,104995951,65121388,178062720,103237561,283058671,1962173665
4/1/2016,28,38294503,143290454,63841328,241904048,102135831,385194502,2064309496
5/1/2016,29,37636295,180926749,63831071,305735119,101467366,486661868,2165776862
6/1/2016,30,38177550,219104299,67881863,373616982,106059413,592721281,2271836275
7/1/2016,31,40129985,259234284,81478447,455095429,121608432,714329713,2393444707
8/1/2016,32,41056948,300291232,84055363,539150792,125112311,839442024,2518557018
9/1/2016,33,39672483,339963715,86137409,625288201,125809892,965251916,2644366910
