Month,Adams,Alamosa,Arapahoe,Boulder,Chaffee,Delta,Denver,Eagle,El Paso,Fremont,Garfield,Grand,Jefferson,La Plata,Larimer,Las Animas,Mesa,Moffat,Montezuma,Montrose,Morgan,Otero,Park,Pitkin,Pueblo,Routt,Saguache,San Miguel,Summit,Weld
1/1/2014,454940,NR,1210155,3345413,NR,NR,14680476,185360,5116438,215839,373432,NR,2044484,521985,1009841,NR,NR,NR,103266,NR,NR,NR,NR,161237,418489,209165,NR,94099,244818,671024
1/2/2014,454940,NR,1210155,3345413,NR,NR,14680476,185360,5116438,215839,373432,NR,2044484,521985,1009841,NR,NR,NR,103266,NR,NR,NR,NR,161237,418489,209165,NR,94099,244818,671024
1/3/2014,477275,NR,1490219,3505875,NR,NR,16102218,201147,5929766,222270,401766,NR,2014285,587114,1234344,NR,NR,NR,NR,NR,NR,NR,NR,157541,375711,214650,NR,75215,253937,580961
1/4/2014,452636,NR,1517828,3136133,NR,NR,15064678,178397,5535184,225243,371447,NR,2039086,613521,1162178,NR,NR,NR,108703,NR,NR,NR,NR,123525,401959,186308,NR,64107,243097,519545
1/5/2014,467977,NR,1511922,2823124,88974,NR,14150620,146126,5518910,239918,434235,NR,2037535,561810,1116171,NR,NR,NR,120385,NR,NR,NR,NR,95001,452196,159620,NR,49679,201566,516873
1/6/2014,433176,NR,1425313,2507058,96647,NR,13476218,132878,5342494,228665,418280,NR,1889080,544589,1112079,NR,NR,NR,115548,NR,NR,NR,NR,110679,403341,NR,NR,75455,203354,470633
1/7/2014,452488,NR,1470823,2547883,92938,NR,14083010,165132,5895119,250084,446439,NR,1913729,604088,1087000,NR,NR,NR,120802,NR,NR,NR,NR,117930,459326,NR,NR,49131,189746,303374
1/8/2014,481873,NR,1453140,2728671,75887,NR,15861744,171357,6327504,268966,531623,NR,2021406,657993,1207539,NR,NR,NR,132833,NR,NR,NR,NR,115179,460037,170505,NR,46369,177412,275556
1/9/2014,453206,NR,1353297,2715576,NR,NR,15196933,181480,5953327,233349,527700,NR,1845807,623331,1315740,NR,NR,NR,125628,NR,NR,NR,NR,100612,436843,167807,NR,39758,179358,287891
1/10/2014,474637,NR,1396842,2660593,NR,NR,15006222,206273,5742846,174220,389617,NR,1923839,531825,1232929,NR,NR,NR,NR,NR,NR,NR,NR,86614,352545,NR,NR,36239,178233,361629
1/11/2014,480189,NR,1345048,2400813,NR,NR,13469383,210732,5223552,159257,318967,NR,1837165,459409,1185998,NR,NR,NR,NR,NR,NR,NR,NR,72294,324106,NR,NR,26291,163698,416639
1/12/2014,470394,NR,1498465,2548354,NR,NR,12138739,277950,5517533,178729,283365,NR,1832756,497203,1316194,NR,NR,NR,117849,NR,NR,NR,NR,84226,399460,169025,NR,43788,205226,394521
1/13/2014,421362,NR,1493744,2501072,NR,NR,13374117,316095,5582451,180201,325730,NR,1868844,893330,1141214,NR,NR,NR,114767,NR,NR,NR,NR,90522,359950,NR,NR,50579,255639,340278
1/14/2014,434375,NR,1402007,2257951,NR,NR,12841486,292481,5578020,175136,348057,NR,1700441,892507,1111034,NR,NR,NR,104595,NR,NR,NR,NR,75050,358140,NR,NR,41195,246053,364563
1/15/2014,479975,NR,1562845,2525620,NR,NR,14406613,337864,6380331,194875,379738,NR,1861813,1017530,1320406,NR,NR,NR,133639,NR,NR,NR,NR,85006,463245,199449,NR,50730,292686,386290
1/16/2014,474341,NR,1559596,2559060,NR,NR,14953494,287781,6540175,198045,381432,NR,1931784,493486,1277080,NR,NR,NR,124006,NR,NR,NR,NR,65486,389146,193801,NR,38531,305570,350491
1/17/2014,495716,NR,1588756,2451648,NR,NR,15598475,259399,6793848,200945,407487,NR,1933694,452253,1292742,NR,NR,NR,136143,NR,NR,NR,NR,57287,396182,163870,NR,NR,224409,342765
