Month,Adams,Arapahoe,Archuleta,Bent,Boulder,Chaffee,Clear Creek,Conejos,Costilla,Crowley,Denver,Eagle,El Paso,Garfield,Gilpin,Grand,Gunnison,Huerfano,Jefferson,Lake,La Plata,Larimer,Las Animas,Mesa,Moffat,Montezuma,Montrose,Morgan,Otero,Ouray,Park,Pitkin,Pueblo,Routt,Saguache,San Juan,San Miguel,Sedgwick,Summit,Weld
1/1/2014,NR,NR,NR,NR,NR,NR,445976,NR,NR,NR,8349069,NR,NR,NR,113337,NR,NR,NR,880367,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,823156,NR,NR,NR,230470,NR,1063383,NR
1/2/2014,NR,NR,NR,NR,NR,NR,445976,NR,NR,NR,8349069,NR,NR,NR,113337,NR,NR,NR,880367,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,823156,NR,NR,NR,230470,NR,1063383,NR
1/3/2014,NR,NR,NR,NR,1396479,NR,524541,NR,NR,NR,10746117,NR,NR,NR,131685,NR,NR,NR,1056723,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1196018,NR,NR,NR,319620,NR,1427935,NR
1/4/2014,NR,NR,NR,NR,1835900,NR,369117,NR,NR,NR,12005332,NR,NR,NR,114408,NR,NR,NR,1368618,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,227021,1132339,NR,NR,NR,188733,NR,757131,521853
1/5/2014,NR,NR,NR,NR,2354205,NR,320076,NR,NR,NR,11300905,NR,NR,292839,116815,NR,NR,NR,1435895,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,185390,1417017,NR,NR,NR,257276,NR,545898,694205
1/6/2014,NR,NR,NR,NR,2593735,NR,396938,NR,NR,NR,12245778,NR,NR,392391,145630,NR,NR,NR,1445315,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,322473,1571864,NR,NR,NR,451452,NR,686139,795293
1/7/2014,NR,NR,NR,NR,3192671,NR,473299,NR,NR,NR,14518417,NR,NR,403958,160328,NR,307664,NR,1699749,NR,NR,1083910,NR,NR,NR,NR,NR,NR,NR,NR,NR,505148,1985679,NR,NR,NR,548213,NR,981349,1168267
1/8/2014,NR,NR,NR,NR,3644021,NR,480132,NR,NR,NR,15901236,414091,NR,603468,155054,NR,309611,NR,1858831,NR,NR,1340810,NR,NR,NR,NR,NR,NR,NR,NR,NR,502231,1685115,NR,NR,NR,591931,NR,941538,1291047
1/9/2014,NR,NR,NR,NR,3314834,NR,375860,NR,NR,NR,14364191,379890,NR,537711,138821,NR,255533,NR,1701706,NR,NR,1378589,NR,NR,NR,NR,NR,NR,NR,NR,NR,316259,1386314,NR,NR,NR,501532,NR,726128,1201206
1/10/2014,NR,NR,NR,NR,3477557,NR,338132,NR,NR,NR,14895186,356123,NR,553834,NR,NR,184394,NR,1714442,NR,NR,1523402,NR,NR,NR,NR,NR,NR,NR,NR,NR,246079,1245865,NR,NR,NR,278409,NR,632225,1126809
1/11/2014,1304091,805369,NR,NR,3196349,NR,298012,NR,NR,NR,13742869,373883,NR,507297,NR,NR,133062,NR,1679786,NR,647493,1493948,NR,NR,NR,NR,NR,NR,NR,NR,NR,216781,1137217,NR,NR,NR,169659,NR,706675,992006
1/12/2014,1445817,1416559,NR,NR,3592405,NR,371997,NR,NR,NR,14797861,710631,NR,560065,103121,NR,228173,NR,1990092,NR,838948,1613144,NR,NR,NR,NR,NR,NR,NR,NR,NR,599569,1158670,493734,NR,NR,292834,NR,1256397,1071049
1/13/2014,1189877,1844768,NR,NR,3565252,NR,455108,NR,NR,NR,15485689,825587,NR,616641,112455,NR,273043,NR,2108127,NR,798627,1728021,224113,NR,NR,NR,NR,NR,NR,NR,NR,813722,1063092,NR,NR,NR,374588,NR,1685111,1199406
1/14/2014,NR,2114064,NR,NR,3209140,NR,416086,NR,NR,NR,14411812,735296,NR,535881,104647,NR,224407,NR,1960725,NR,840795,1685559,287148,NR,NR,159174,NR,NR,NR,NR,NR,705757,1039417,NR,NR,NR,300473,NR,1393552,1270638
1/15/2014,1497796,2615133,NR,NR,3856723,NR,485304,NR,NR,NR,17121933,862396,NR,642659,117004,NR,296334,NR,2224610,NR,1020552,1943174,415008,NR,NR,254446,NR,NR,NR,NR,146105,896693,1355119,616913,NR,NR,375409,NR,1727608,1443488
1/16/2014,1611106,3257101,NR,NR,3973545,250729,365896,NR,NR,NR,18946519,516095,NR,644631,130946,NR,160176,NR,2429996,NR,930516,2045132,471514,NR,NR,313150,NR,NR,NR,NR,121375,426689,1318252,433152,NR,NR,150531,NR,953219,1521411
1/17/2014,1687270,3615509,NR,NR,4281906,312605,348152,NR,NR,NR,17590490,432292,NR,720995,143079,NR,176131,NR,2538231,NR,1155547,2292433,606835,NR,NR,403035,NR,NR,NR,NR,154563,329419,1482501,419611,NR,NR,153689,NR,719343,1636318
1/18/2014,NR,3753244,NR,NR,4273572,NR,441514,NR,NR,NR,17280785,534649,NR,798425,183787,142695,273865,NR,2584940,NR,1283234,2321397,714276,NR,NR,463559,NR,NR,NR,NR,191938,570064,1517777,485969,NR,NR,315531,NR,925580,1693656
1/19/2014,1822902,4482419,NR,NR,4926814,NR,558033,NR,NR,NR,19851838,745007,NR,953213,185927,230218,454862,NR,2891081,NR,1529417,2714363,1009958,NR,NR,572832,NR,NR,NR,NR,235832,850341,1852589,631836,NR,NR,387509,NR,1304307,1878564
1/20/2014,2007490,5068738,NR,NR,5076823,529711,549270,NR,NR,NR,20586503,755726,NR,919088,209981,234153,454015,NR,3008160,NR,1517581,2921981,1043528,NR,NR,602753,NR,NR,NR,NR,220562,815391,1894167,649959,NR,NR,367696,NR,1325273,1964176
1/21/2014,2066128,5321883,NR,NR,4564394,391518,490483,NR,NR,NR,19062651,632711,NR,888159,206010,182101,333527,NR,2859786,NR,1596319,2735329,1018744,NR,NR,605971,NR,NR,NR,342064,185916,627987,1721621,576410,NR,NR,330093,NR,1024344,1804494
1/22/2014,2446592,5728782,NR,NR,4777912,325900,419695,NR,NR,NR,19085375,590827,NR,872142,185948,166746,NR,NR,3091341,NR,1541740,2885257,1035512,NR,NR,627049,NR,NR,NR,NR,201525,443764,1710792,563187,NR,NR,195014,NR,968236,1908470
1/23/2014,2426969,5485411,NR,NR,4312311,257406,382303,NR,NR,NR,17834233,608573,NR,706287,165186,149468,250041,NR,2816172,NR,1192549,2561270,850923,NR,NR,528833,NR,NR,NR,NR,168909,348178,1447179,437492,NR,NR,121095,NR,1022796,1688077
1/24/2014,2706310,6055214,NR,NR,4621551,NR,492005,NR,NR,NR,19339032,948426,NR,801776,145319,274910,365817,NR,3153194,NR,1460381,2818206,921083,NR,NR,559469,NR,NR,NR,NR,188927,895847,1530280,655561,NR,NR,275068,NR,1750307,1849039
1/25/2014,2544485,5949573,NR,NR,4499880,268240,550192,NR,NR,NR,18969263,1214652,NR,821090,136475,287813,400086,NR,3020022,NR,1396817,2708125,922872,NR,NR,532773,NR,NR,NR,NR,187006,1008558,1466234,792416,NR,NR,385569,NR,2338782,1793538
1/26/2014,2597102,6229934,NR,NR,4477304,281840,535811,163449,153417,NR,19129746,1176777,NR,860185,172887,279018,413264,NR,2970642,NR,1484507,2878307,1012648,NR,NR,600808,NR,NR,NR,NR,176302,964350,1686427,772020,NR,NR,339892,NR,2116576,1866786
1/27/2014,2909379,7112616,NR,NR,5138199,350973,561094,211950,195952,NR,21459311,1283537,NR,1095523,188204,360353,490823,NR,3327498,NR,1679875,3197373,1284687,NR,NR,728890,NR,NR,NR,NR,229022,1082334,2074591,759132,NR,NR,NR,NR,2395692,2034731
1/28/2014,3187313,7531661,NR,NR,5082136,300638,423714,221411,184198,NR,22606396,820436,NR,1153014,190800,233601,325678,NR,3572554,NR,1598561,3233416,1258520,NR,NR,727306,NR,NR,NR,NR,199423,501414,2069169,550366,NR,NR,138111,NR,1391044,2029498
1/29/2014,3360096,7426175,NR,NR,5315292,333276,452848,257716,223862,NR,21615189,650881,NR,1210134,225826,189787,344705,NR,3572041,147684,1740113,3465166,1456567,NR,NR,842550,NR,543167,NR,325887,237775,392581,2184317,514632,NR,NR,157740,NR,991298,2043048
1/30/2014,3434567,7565406,NR,NR,5541278,455848,553669,332403,265269,NR,21841675,842569,NR,1333408,243952,261059,479935,NR,3753947,206574,1939519,3648840,1622815,NR,NR,914168,NR,549251,NR,NR,299449,673427,2365115,649366,NR,NR,329083,NR,1253529,2024804
1/31/2014,4154813,8738376,NR,NR,6365624,NR,672704,436196,383906,NR,25938973,1111856,NR,1628885,267260,381080,459794,NR,4318330,274691,2306604,4181160,2179979,NR,NR,1187679,NR,634140,NR,505470,381198,1062245,2995085,882414,NR,NR,446217,NR,1760408,2381224
