county,month,covid,retail
ADAMS,3/1/2020,153.7,#N/A
ADAMS,4/1/2020,1730.6,#N/A
ADAMS,5/1/2020,2179.5,#N/A
ADAMS,6/1/2020,1340.8,#N/A
ADAMS,7/1/2020,2305,#N/A
ADAMS,8/1/2020,2314.9,#N/A
ADAMS,9/1/2020,2347.7,#N/A
ADAMS,10/1/2020,7316.8,#N/A
ADAMS,11/1/2020,19537.7,#N/A
ADAMS,12/1/2020,14795,#N/A
ADAMS,1/1/2021,7761.2,#N/A
ADAMS,2/1/2021,3672.6,#N/A
ADAMS,3/1/2021,3785.2,#N/A
ADAMS,4/1/2021,6094.8,#N/A
ADAMS,5/1/2021,5131.6,#N/A
ADAMS,6/1/2021,1184.3,#N/A
ALAMOSA,3/1/2020,31,#N/A
ALAMOSA,4/1/2020,364.5,#N/A
ALAMOSA,5/1/2020,2416.2,#N/A
ALAMOSA,6/1/2020,4622.6,#N/A
ALAMOSA,7/1/2020,1403.2,#N/A
ALAMOSA,8/1/2020,624.4,#N/A
ALAMOSA,9/1/2020,321.8,#N/A
ALAMOSA,10/1/2020,4153,#N/A
ALAMOSA,11/1/2020,12137.5,#N/A
ALAMOSA,12/1/2020,13410.5,#N/A
ALAMOSA,1/1/2021,9084.6,#N/A
ALAMOSA,2/1/2021,5209.9,#N/A
ALAMOSA,3/1/2021,2620.2,#N/A
ALAMOSA,4/1/2021,3862.6,#N/A
ALAMOSA,5/1/2021,9560.3,#N/A
ALAMOSA,6/1/2021,2466,#N/A
ARAPAHOE,3/1/2020,235.7,1589318
ARAPAHOE,4/1/2020,2015.5,1657955
ARAPAHOE,5/1/2020,1952.6,1770345
ARAPAHOE,6/1/2020,943.7,1972266
ARAPAHOE,7/1/2020,1721,2149399
ARAPAHOE,8/1/2020,1469.2,2323372
ARAPAHOE,9/1/2020,1383.1,2253157
ARAPAHOE,10/1/2020,4107.1,2187288
ARAPAHOE,11/1/2020,14507.2,2220752
ARAPAHOE,12/1/2020,12231.7,2020972
ARAPAHOE,1/1/2021,7261.5,2102725
ARAPAHOE,2/1/2021,3817.2,2096278
ARAPAHOE,3/1/2021,3432,1874242
ARAPAHOE,4/1/2021,5799.9,2000415
